id,name,type,address,city,state_region,country,latitude,longitude,timezone,contact_email,contact_phone,website,booking_link,images,amenities,work_friendly_features,notes,source
119,Selina Playa del Carmen,hostel,,Playa del Carmen,Quintana Roo,Mexico,20.629,-87.073,America/Cancun,,,,,,"wifi,cowork,kitchen,events",Cowork on-site/nearby,Beach + cowork,starter list
120,Outsite Puerto Escondido,coliving,,Puerto Escondido,Oaxaca,Mexico,15.871,-97.074,America/Mexico_City,,,,,,"wifi,cowork,kitchen,events",Cowork on-site/nearby,Surf + work,starter list
121,Casa Agave Coliving,coliving,,Tulum,Quintana Roo,Mexico,20.211,-87.465,America/Cancun,,,,,,"wifi,cowork,kitchen,events",Cowork on-site/nearby,Coliving community,starter list
122,Outpost Canggu Coliving,coliving,,Canggu,Bali,Indonesia,-8.647,115.138,Asia/Makassar,,,,,,"wifi,cowork,kitchen,events,pool",Fast wifi; desks; quiet areas,Work-friendly common areas,starter list
123,Tribal Bali,hostel,,Pererenan,Bali,Indonesia,-8.641,115.122,Asia/Makassar,,,,,,"wifi,cowork,kitchen,events,pool",Fast wifi; desks; quiet areas,Designed for remote workers,starter list
124,Outpost Ubud,coliving,,Ubud,Bali,Indonesia,-8.506,115.262,Asia/Makassar,,,,,,"wifi,cowork,kitchen,events,pool",Fast wifi; desks; quiet areas,Cowork + coliving,starter list
125,Dojo Coliving Canggu (example),coliving,,Canggu,Bali,Indonesia,-8.648,115.131,Asia/Makassar,,,,,,"wifi,cowork,kitchen,events,pool",Fast wifi; desks; quiet areas,Near cowork spaces,starter list
126,Selong Belanak Coliving,coliving,,Selong Belanak,Lombok,Indonesia,-8.873,116.161,Asia/Makassar,,,,,,"wifi,cowork,kitchen,events,pool",Fast wifi; desks; quiet areas,Beach lifestyle + work,starter list
127,Loka Surf & Work,guesthouse,,Kuta,Lombok,Indonesia,-8.895,116.277,Asia/Makassar,,,,,,"wifi,cowork,kitchen,events,pool",Fast wifi; desks; quiet areas,Work-friendly cafe spaces,starter list
128,Sun & Co. Coliving,coliving,Carrer del Puerto 49,Jávea,,Spain,38.787,0.166,Europe/Madrid,,,,,,"wifi,cowork,kitchen,events",Common work lounges,Long-running coliving,starter list
129,Nine Coliving,coliving,La Orotava,Tenerife,,Spain,28.39,-16.523,Atlantic/Canary,,,,,,"wifi,cowork,kitchen,events",Common work lounges,Island coliving,starter list
130,Coworking Bansko Coliving (Tenerife-like example),coliving,Puerto de la Cruz,Tenerife,,Spain,28.414,-16.546,Atlantic/Canary,,,,,,"wifi,cowork,kitchen,events",Common work lounges,Community events,starter list
131,Repeople Coliving Gran Canaria,coliving,Las Palmas,Gran Canaria,,Spain,28.124,-15.431,Atlantic/Canary,,,,,,"wifi,cowork,kitchen,events",Common work lounges,Island nomad hub,starter list
132,Selina Madrid Gran Vía,hostel,Madrid,Madrid,,Spain,40.42,-3.706,Europe/Madrid,,,,,,"wifi,cowork,kitchen,events",Common work lounges,City center cowork,starter list
133,The Student Hotel Barcelona (TSH),serviced-apartment,Barcelona,Catalonia,,Spain,41.385,2.173,Europe/Madrid,,,,,,"wifi,cowork,kitchen,events",Common work lounges,Work lounges + long stay,starter list
134,Doers Coliving Tbilisi,coliving,Vera,Tbilisi,,Georgia,41.707,44.793,Asia/Tbilisi,,,,,,"wifi,cowork,kitchen,events",Work rooms; fast wifi,Dedicated workspaces,starter list
135,Fabrika Tbilisi,hostel,Ninoshvili St,Tbilisi,,Georgia,41.71,44.801,Asia/Tbilisi,,,,,,"wifi,cowork,kitchen,events",Work rooms; fast wifi,Creative complex; cafes + work,starter list
136,Nomad House Batumi,coliving,Batumi Center,Batumi,,Georgia,41.651,41.65,Asia/Tbilisi,,,,,,"wifi,cowork,kitchen,events",Work rooms; fast wifi,Sea + work,starter list
137,Terminal CoLiving Tbilisi (example),coliving,Saburtalo,Tbilisi,,Georgia,41.726,44.775,Asia/Tbilisi,,,,,,"wifi,cowork,kitchen,events",Work rooms; fast wifi,Connected to cowork brand Terminal,starter list
138,Outsite San Juan,coliving,San Juan,San Juan,,Puerto Rico,18.466,-66.105,America/Puerto_Rico,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Island retreat + work,starter list
139,Outsite Miami - Little Havana,coliving,Little Havana,Miami,,USA,25.774,-80.219,America/New_York,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Urban coliving,starter list
140,Outsite Santa Teresa,coliving,Santa Teresa,Puntarenas,,Costa Rica,9.66,-85.166,America/Costa_Rica,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Surf + work,starter list
141,Selina Bocas del Toro,hostel,Bocas Town,Bocas del Toro,,Panama,9.335,-82.244,America/Panama,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Overwater vibes + cowork,starter list
142,Selina Medellín,hostel,El Poblado,Medellín,,Colombia,6.208,-75.567,America/Bogota,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,On-site cowork,starter list
143,Selina Lima Miraflores,hostel,Miraflores,Lima,,Peru,-12.121,-77.029,America/Lima,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,City cowork,starter list
144,Outsite New York - Brooklyn,coliving,Brooklyn,New York,,USA,40.678,-73.944,America/New_York,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,City coliving,starter list
145,Roam Miami,coliving,Little Havana,Miami,,USA,25.774,-80.219,America/New_York,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Global coliving brand,starter list
146,Roam Bali (Ubud),coliving,Ubud,Bali,,Indonesia,-8.506,115.262,Asia/Makassar,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Tropical coliving,starter list
147,Nine Tulum (example),coliving,Tulum Center,Tulum,,Mexico,20.211,-87.465,America/Cancun,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Boutique coliving,starter list
148,Outsite Honolulu,coliving,Honolulu,Honolulu,,USA,21.306,-157.858,Pacific/Honolulu,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Island + work,starter list
149,Selina Cusco,hostel,Cusco,Cusco,,Peru,-13.532,-71.967,America/Lima,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Historic city + cowork,starter list
150,Outsite Tamarindo,coliving,Tamarindo,Guanacaste,,Costa Rica,10.298,-85.84,America/Costa_Rica,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Beach town for nomads,starter list
151,Selina Puerto Viejo,hostel,Puerto Viejo,Limón,,Costa Rica,9.655,-82.754,America/Costa_Rica,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,Caribbean coast,starter list
152,Outsite Cape Town,coliving,Sea Point,Cape Town,,South Africa,-33.915,18.387,Africa/Johannesburg,,,,,,"wifi,cowork,kitchen,events",Work lounge/desks,City + nature,starter list
