name,city,country,latitude,longitude,email,phone,website,images,facilities
Outsite Lisbon - Cais do Sodré,Cais do Sodré,Portugal,38.708,-9.143,info@urbanloft.es,+34 612 345 684,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outsite Ericeira,Ericeira,Portugal,38.964,-9.416,info@urbanloft.es,+34 612 345 685,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Porto,Porto,Portugal,41.149,-8.61,info@urbanloft.es,+34 612 345 686,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Hub Hub Madeira (example),Funchal,Portugal,32.666,-16.925,info@urbanloft.es,+34 612 345 687,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Lisbon,Lisbon,Portugal,38.722,-9.139,info@urbanloft.es,+34 612 345 688,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Village Underground Lisboa (lodging),Lisbon,Portugal,38.702,-9.178,info@urbanloft.es,+34 612 345 689,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Mexico City Downtown,Ciudad de México,Mexico,19.432,-99.133,info@urbanloft.es,+34 612 345 690,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Oaxaca,Oaxaca,Mexico,17.059,-96.725,info@urbanloft.es,+34 612 345 691,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Playa del Carmen,Playa del Carmen,Mexico,20.629,-87.073,info@urbanloft.es,+34 612 345 692,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outsite Puerto Escondido,Puerto Escondido,Mexico,15.871,-97.074,info@urbanloft.es,+34 612 345 693,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Casa Agave Coliving,Tulum,Mexico,20.211,-87.465,info@urbanloft.es,+34 612 345 694,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outpost Canggu Coliving,Canggu,Indonesia,-8.647,115.138,info@urbanloft.es,+34 612 345 695,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Tribal Bali,Pererenan,Indonesia,-8.641,115.122,info@urbanloft.es,+34 612 345 696,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outpost Ubud,Ubud,Indonesia,-8.506,115.262,info@urbanloft.es,+34 612 345 697,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Dojo Coliving Canggu (example),Canggu,Indonesia,-8.648,115.131,info@urbanloft.es,+34 612 345 698,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selong Belanak Coliving,Selong Belanak,Indonesia,-8.873,116.161,info@urbanloft.es,+34 612 345 699,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Loka Surf & Work,Kuta,Indonesia,-8.895,116.277,info@urbanloft.es,+34 612 345 700,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Sun & Co. Coliving,Jávea,Spain,38.787,0.166,info@urbanloft.es,+34 612 345 701,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Nine Coliving,Tenerife,Spain,28.39,-16.523,info@urbanloft.es,+34 612 345 702,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Coworking Bansko Coliving (Tenerife-like example),Tenerife,Spain,28.414,-16.546,info@urbanloft.es,+34 612 345 703,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Repeople Coliving Gran Canaria,Gran Canaria,Spain,28.124,-15.431,info@urbanloft.es,+34 612 345 704,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Madrid Gran Vía,Madrid,Spain,40.42,-3.706,info@urbanloft.es,+34 612 345 705,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
The Student Hotel Barcelona (TSH),Catalonia,Spain,41.385,2.173,info@urbanloft.es,+34 612 345 706,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Doers Coliving Tbilisi,Tbilisi,Georgia,41.707,44.793,info@urbanloft.es,+34 612 345 707,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Fabrika Tbilisi,Tbilisi,Georgia,41.71,44.801,info@urbanloft.es,+34 612 345 708,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Nomad House Batumi,Batumi,Georgia,41.651,41.65,info@urbanloft.es,+34 612 345 709,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Terminal CoLiving Tbilisi (example),Tbilisi,Georgia,41.726,44.775,info@urbanloft.es,+34 612 345 710,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outsite San Juan,San Juan,Puerto Rico,18.466,-66.105,info@urbanloft.es,+34 612 345 711,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outsite Miami - Little Havana,Miami,USA,25.774,-80.219,info@urbanloft.es,+34 612 345 712,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outsite Santa Teresa,Puntarenas,Costa Rica,9.66,-85.166,info@urbanloft.es,+34 612 345 713,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Bocas del Toro,Bocas del Toro,Panama,9.335,-82.244,info@urbanloft.es,+34 612 345 714,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Medellín,Medellín,Colombia,6.208,-75.567,info@urbanloft.es,+34 612 345 715,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Lima Miraflores,Lima,Peru,-12.121,-77.029,info@urbanloft.es,+34 612 345 716,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outsite New York - Brooklyn,New York,USA,40.678,-73.944,info@urbanloft.es,+34 612 345 717,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Roam Miami,Miami,USA,25.774,-80.219,info@urbanloft.es,+34 612 345 718,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Roam Bali (Ubud),Bali,Indonesia,-8.506,115.262,info@urbanloft.es,+34 612 345 719,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Nine Tulum (example),Tulum,Mexico,20.211,-87.465,info@urbanloft.es,+34 612 345 720,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outsite Honolulu,Honolulu,USA,21.306,-157.858,info@urbanloft.es,+34 612 345 721,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Cusco,Cusco,Peru,-13.532,-71.967,info@urbanloft.es,+34 612 345 722,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outsite Tamarindo,Guanacaste,Costa Rica,10.298,-85.84,info@urbanloft.es,+34 612 345 723,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Selina Puerto Viejo,Limón,Costa Rica,9.655,-82.754,info@urbanloft.es,+34 612 345 724,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
Outsite Cape Town,Cape Town,South Africa,-33.915,18.387,info@urbanloft.es,+34 612 345 725,https://urbanloft.es,../../assets/beachtrip.webp;../../assets/beachtrip.webp;,"City Center, Shared Office, Fast WiFi, Rooftop Terrace"
